,payFrequency,apr,nPaidOff,loanStatus,state,leadType,leadCost,fpStatus,hasCF,NumPaymentsPaid,NumPaymentsMissed,NumPaymentsCancelled,isPaidOff,nLoanTaken,earningDiff,applicationYear
0,0,510451.1013821627,0,5,3,7,-3.949745080857097,4,1,22.0,0.0,3.0,1,1,6284.811541294124,2016
1,3,5651967.550456223,0,5,20,6,-3.949745080857097,4,1,1.0,0.0,12.0,1,3,1331.4989828077182,2017
2,0,9277250.715763165,0,5,3,0,2.8544212975884062,4,1,13.0,0.0,0.0,1,2,2429.8390625744255,2016
3,4,3379388.5013151052,0,5,39,6,-3.949745080857097,4,1,6.0,0.0,21.0,1,3,393.7899614357314,2016
4,4,9277250.715763165,0,5,20,0,2.1153180105563267,4,0,3.0,1.0,21.0,1,2,393.8524348357689,2015
5,2,9277250.715763165,0,4,7,0,1.215398775016625,4,1,4.0,0.0,0.0,1,1,961.0193773530561,2016
6,0,9745994.598396378,0,5,32,4,2.8544212975884062,4,1,12.0,0.0,0.0,1,1,1613.9746141974585,2015
7,0,9277250.715763165,0,5,28,0,1.215398775016625,4,1,5.0,1.0,11.0,1,1,554.3617637443208,2016
8,4,4502857.4685344435,0,2,27,0,1.215398775016625,4,1,11.0,2.0,17.0,1,1,654.8060141537826,2016
9,0,9277250.715763165,0,3,28,0,2.1153180105563267,4,1,2.0,0.0,0.0,1,1,229.2774806400673,2017
10,4,7692412.79472348,0,2,28,0,2.8544212975884062,4,0,1.0,3.0,39.0,0,1,33.965694837308746,2015
11,0,10819400.907835873,0,5,13,6,-3.949745080857097,4,1,8.0,0.0,5.0,1,4,1381.3950094997838,2015
12,0,9277250.715763165,0,2,28,0,2.8544212975884062,4,1,6.0,1.0,9.0,1,1,599.796095388544,2016
13,2,9277250.715763165,0,2,34,6,-3.949745080857097,4,0,1.0,3.0,3.0,1,1,162.3872332884639,2016
14,0,11768081.773854656,0,2,7,0,2.1153180105563267,4,1,0.0,2.0,11.0,0,1,-2.209132778813919,2016
15,0,1889714.3030924103,0,2,28,7,-3.949745080857097,4,1,2.0,1.0,23.0,1,1,370.9181985975044,2016
16,2,9277250.715763165,0,2,28,6,-3.949745080857097,4,0,4.0,1.0,1.0,1,2,1187.0904658622107,2016
17,0,3399307.649545137,0,3,39,6,-3.949745080857097,4,0,7.0,2.0,5.0,1,3,613.790071205532,2016
18,3,2482690.655157639,0,5,12,6,-3.949745080857097,2,1,2.0,0.0,11.0,1,3,615.9407059967486,2016
19,4,9277250.715763165,0,2,28,0,1.215398775016625,4,1,1.0,2.0,23.0,0,1,93.61927666969795,2016
20,0,6496440.7745900145,0,4,28,4,4.363500465008609,4,1,1.0,0.0,0.0,0,2,128.36508482414763,2017
21,4,9277250.715763165,0,2,29,0,1.215398775016625,4,1,1.0,4.0,23.0,1,1,70.1185236282492,2016
22,0,9745994.598396378,0,2,22,0,1.215398775016625,4,1,3.0,3.0,6.0,1,1,482.9387855544988,2015
